accuracy,precision,recall,f1_macro,f1_weighted,f1_binary,auc,seed,fold,experiment
0.7783,0.7782628106552905,0.7810524219644546,0.7782916144345869,0.7782975456881718,0.7796551210058142,0.8611866383041633,42,1,baseline_rf
0.778475,0.7793093152866242,0.7796584855876936,0.7784703632462467,0.7784747719629302,0.7794838613343952,0.8626390770379353,42,2,baseline_rf
0.776125,0.775152024521679,0.7805934481728567,0.776111291154427,0.7761188244497578,0.7778632203011435,0.8597879562293106,42,3,baseline_rf
0.7773,0.7758910060223122,0.7825350990739819,0.7772835278897228,0.7772917639448614,0.7791988895498712,0.8610058299977966,42,4,baseline_rf
0.77855,0.7712601468882876,0.7946828636861496,0.778465328894867,0.7784839522069934,0.7827963317149723,0.8600549036651688,42,5,baseline_rf
0.7791,0.7747765349484688,0.7896649574351571,0.779056695112242,0.7790701505595097,0.7821499013806706,0.8626710638932066,123,1,baseline_rf
0.779,0.7772245501602169,0.7848857470005476,0.7789808840566621,0.7789898253849975,0.7810363618349351,0.8614709111833168,123,2,baseline_rf
0.7801,0.7796492618646587,0.7835308174848153,0.7800898313538018,0.780096261527133,0.781585220500596,0.8626066858476213,123,3,baseline_rf
0.778875,0.7775418497851958,0.7839291048491487,0.778859303295135,0.7788673146697249,0.7807224136648735,0.8615706341910263,123,4,baseline_rf
0.77635,0.7791700080192462,0.7739719207408144,0.7763497981556928,0.7763507117667674,0.7765622658474449,0.86038656354756,123,5,baseline_rf
0.7779,0.7796415555888373,0.7774680141384975,0.7778980671579294,0.7779009172809827,0.7785532678598136,0.8621519478202326,7,1,baseline_rf
0.779825,0.7776957163958641,0.7863294668193359,0.7798033093873682,0.7798128161042396,0.7819887615416986,0.8618358005879366,7,2,baseline_rf
0.775375,0.7746548567469939,0.7793985860798566,0.775362781841306,0.7753699056490869,0.7770194813252265,0.8599154835872915,7,3,baseline_rf
0.780425,0.7775104345691137,0.7883102658568157,0.7803970828419045,0.7804077297403356,0.782873105732862,0.8631627211287136,7,4,baseline_rf
0.778375,0.7774865225777734,0.7826346709150652,0.7783621138347747,0.7783693807869673,0.7800521027167845,0.8606706488002963,7,5,baseline_rf
