accuracy,precision,recall,f1_macro,f1_weighted,f1_binary,auc,seed,fold,experiment
0.777975,0.7744147320991283,0.787175785333798,0.7779396056549577,0.7779518009342395,0.7807431181335638,0.8606563145191115,42,1,ssl_self_training_rf
0.778575,0.7782733670334027,0.7817991735948624,0.7785652810917905,0.778571662563596,0.7800322861045573,0.8623338925130812,42,2,ssl_self_training_rf
0.774,0.7676650189008433,0.7886089813800657,0.7739267522677348,0.7739442503371092,0.7779960707269156,0.8594532050397612,42,3,ssl_self_training_rf
0.777025,0.774063711775389,0.7851239669421488,0.7769956357609611,0.7770066393538035,0.7795546108406041,0.8608438657530778,42,4,ssl_self_training_rf
0.77765,0.7683932853717026,0.7976202329981081,0.7775281833320653,0.7775505684462585,0.782734023842095,0.8595818149177579,42,5,ssl_self_training_rf
0.77985,0.7737176687533363,0.793747199681386,0.7797837099418259,0.7798003302157773,0.7836044625743352,0.8620996068298102,123,1,ssl_self_training_rf
0.77915,0.7726413722924844,0.7937969831234132,0.7790776236202743,0.7790950179435786,0.7830763186327473,0.8613621453751958,123,2,ssl_self_training_rf
0.779525,0.7761925773398048,0.7882106940157324,0.7794928488170048,0.7795042980995621,0.7821554726675395,0.8623830642128574,123,3,ssl_self_training_rf
0.778975,0.7739342265529842,0.7908493478044409,0.7789234171681378,0.7789379380307897,0.7823003619708946,0.8609951685506666,123,4,ssl_self_training_rf
0.7762,0.7743445692883895,0.7822861694712735,0.7761800123155498,0.7761891072407494,0.7782951111991678,0.8597803635889227,123,5,ssl_self_training_rf
0.7765,0.7737878862307805,0.7841887788121671,0.7764724591716945,0.7764832521990034,0.7789536148748888,0.8619280873342325,7,1,ssl_self_training_rf
0.779025,0.7729567074354494,0.7928510977248967,0.7789590357120817,0.7789756461116444,0.7827775183701555,0.8614017798751796,7,2,ssl_self_training_rf
0.776,0.7722156977882169,0.7856716120681071,0.7759618457422346,0.7759744176432607,0.7788855436552984,0.8598790304132724,7,3,ssl_self_training_rf
0.77905,0.7702806612841215,0.7979687344418999,0.7789395753440247,0.7789608203561363,0.7838802758350858,0.8630575141834372,7,4,ssl_self_training_rf
0.77785,0.7734909161945692,0.7885094095389824,0.7778061383762308,0.7778195622183808,0.7809279621320447,0.8601348163927551,7,5,ssl_self_training_rf
