accuracy,precision,recall,f1_macro,f1_weighted,auc,seed,fold,experiment
0.529075,0.5306399472026478,0.529075,0.4988645250558438,0.5234524796853549,0.7878040496740256,42,1,baseline_lr
0.53095,0.5339924304511715,0.53095,0.500223514097802,0.5251353724505583,0.7876731976112453,42,2,baseline_lr
0.535125,0.5367740914708777,0.535125,0.5050388931545011,0.530907468954995,0.7899007352502755,42,3,baseline_lr
0.535475,0.5361737436426837,0.535475,0.5034753918839124,0.5287551101854342,0.7901202321134599,42,4,baseline_lr
0.53885,0.5393634317968987,0.53885,0.508341395256431,0.5325232495952539,0.7912463721984616,42,5,baseline_lr
0.532075,0.5336151680507655,0.532075,0.5012138341922056,0.5262500069217222,0.7881699424281822,123,1,baseline_lr
0.5371,0.536550798486908,0.5371,0.5057353039691829,0.530370996722122,0.7890017716102258,123,2,baseline_lr
0.535425,0.5393582011152089,0.535425,0.5055749845825971,0.5310649952712598,0.7903445896098343,123,3,baseline_lr
0.535025,0.5355105059706453,0.535025,0.5058900053793713,0.5304838751551785,0.7891344146671319,123,4,baseline_lr
0.53815,0.5380289442479856,0.53815,0.5080101661287765,0.5320760013660408,0.7898789022022018,123,5,baseline_lr
0.534675,0.5341101370529473,0.534675,0.5051664129548401,0.5289688325598247,0.7906861729352149,7,1,baseline_lr
0.540375,0.5391765120722054,0.540375,0.5092349088811688,0.5336005069064009,0.7927821374565056,7,2,baseline_lr
0.533,0.5338144305457665,0.533,0.5017258939262689,0.5269478602848524,0.7875767249349718,7,3,baseline_lr
0.53355,0.5350570986612349,0.53355,0.5047604709077536,0.5287397237594335,0.7882354641537391,7,4,baseline_lr
0.533275,0.5345044310228232,0.533275,0.502973399279078,0.5279205757788982,0.7879900583086091,7,5,baseline_lr
