accuracy,precision,recall,f1_macro,f1_weighted,auc,seed,fold,experiment
0.4992,0.560004648952579,0.4992,0.4980577974734146,0.5103229902423464,0.7828198188890167,42,1,ssl_self_training_lr
0.499925,0.5627235234478689,0.499925,0.49896964645758307,0.5110780452123805,0.7824788415634972,42,2,ssl_self_training_lr
0.506875,0.5660446249623232,0.506875,0.5037343984550252,0.5186258976185104,0.7856395950917345,42,3,ssl_self_training_lr
0.506975,0.5657478548767648,0.506975,0.5057807707396182,0.5184798840847226,0.7854865090518902,42,4,ssl_self_training_lr
0.50355,0.5653845717389167,0.50355,0.502633990294269,0.5144491782597886,0.7867115741400017,42,5,ssl_self_training_lr
0.49925,0.5627861323488567,0.49925,0.49896164389155595,0.5101712138281382,0.7833825307834643,123,1,ssl_self_training_lr
0.5072,0.5631508249367401,0.5072,0.5038629921132629,0.5186070162054964,0.7844167136972343,123,2,ssl_self_training_lr
0.5104,0.5664989795721427,0.5104,0.5084821755827378,0.5217654621009596,0.7864266810888293,123,3,ssl_self_training_lr
0.503125,0.5647537117139394,0.503125,0.5019507871830396,0.5148953367370954,0.7842804430427647,123,4,ssl_self_training_lr
0.509325,0.5673243875290569,0.509325,0.5078207254643605,0.5207949318284585,0.7853047122638607,123,5,ssl_self_training_lr
0.5068,0.5625265879840377,0.5068,0.5048463172180175,0.5183747953534317,0.7859939482757842,7,1,ssl_self_training_lr
0.511075,0.5686663050009655,0.511075,0.5087431888793733,0.5220457781544522,0.7876496148208602,7,2,ssl_self_training_lr
0.503875,0.5642501739180219,0.503875,0.5015289556758564,0.5151051045330857,0.7827894795776893,7,3,ssl_self_training_lr
0.5035,0.562398352640732,0.5035,0.5030239486261654,0.5143573539958379,0.784109030217255,7,4,ssl_self_training_lr
0.50315,0.5621811229947119,0.50315,0.5012616251371818,0.514783335617066,0.7833889731924771,7,5,ssl_self_training_lr
