min_samples,eps,clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,n_samples
3,3.8499,5,0.0036,0.6595792770385742,0.7142787689860361,465.3718738142142,19928
3,6.1598,2,0.0005,0.7705591917037964,0.44423802303609633,437.7048253801262,19990
3,8.4697,1,0.0,,,,20000
3,10.7796,1,0.0,,,,20000
3,13.0895,1,0.0,,,,20000
3,15.3995,1,0.0,,,,20000
5,5.6949,2,0.00105,0.7720856666564941,0.4081101862646117,381.86876101082413,19979
5,9.1118,1,0.0,,,,20000
5,12.5288,1,0.0,,,,20000
5,15.9457,1,0.0,,,,20000
5,19.3626,1,0.0,,,,20000
5,22.7796,1,0.0,,,,20000
10,6.1048,2,0.00105,0.7803552746772766,0.34232412984151805,303.9004151451229,19979
10,9.7677,1,0.0,,,,20000
10,13.4306,1,0.0,,,,20000
10,17.0935,1,0.0,,,,20000
10,20.7564,1,0.0,,,,20000
10,24.4193,1,0.0,,,,20000
22,5.3048,1,0.00225,,,,19955
22,8.4876,1,0.00095,,,,19981
22,11.6705,1,0.0,,,,20000
22,14.8534,1,0.0,,,,20000
22,18.0362,1,0.0,,,,20000
22,21.2191,1,0.0,,,,20000
