linkage,k,clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,n_samples
ward,2,2,0.0,0.21504975855350494,2.2988211298306567,739.8412899859003,5000
ward,3,3,0.0,0.17881911993026733,1.9949797537893146,692.1129990132298,5000
ward,4,4,0.0,0.1878572255373001,1.7779469166999486,647.1177698903316,5000
ward,5,5,0.0,0.1481577455997467,1.765247910245061,594.2944850800966,5000
ward,6,6,0.0,0.16733574867248535,2.043819385746433,563.6907741958405,5000
ward,7,7,0.0,0.17002363502979279,1.7798153454007364,545.3327015508278,5000
ward,8,8,0.0,0.18116316199302673,1.640499532427167,536.0422373726509,5000
ward,9,9,0.0,0.17948420345783234,1.5643508917722724,535.9875089726927,5000
ward,10,10,0.0,0.18814745545387268,1.6327473268654042,527.0992423756999,5000
ward,11,11,0.0,0.19188733398914337,1.5663403676288778,515.8123616098576,5000
ward,12,12,0.0,0.19156724214553833,1.5098763439021738,498.67393654786326,5000
complete,2,2,0.0,0.6992618441581726,0.7311892635227225,341.76028507525837,5000
complete,3,3,0.0,0.6983096599578857,0.6461328962346005,199.07161442949433,5000
complete,4,4,0.0,0.6663232445716858,0.66235403630665,210.4594024514892,5000
complete,5,5,0.0,0.6588141322135925,0.8088803937935122,170.50530269230038,5000
complete,6,6,0.0,0.6589590907096863,0.6803314106793349,141.01569063511212,5000
complete,7,7,0.0,0.26915469765663147,0.9707743143928674,170.6428979328238,5000
complete,8,8,0.0,0.2721087336540222,0.9757460590643313,165.21570129258197,5000
complete,9,9,0.0,0.24224968254566193,1.0411906864712643,150.28470058599476,5000
complete,10,10,0.0,0.2423287183046341,0.959888332230548,135.1011247207421,5000
complete,11,11,0.0,0.18590842187404633,1.2069374406567313,214.19280335187216,5000
complete,12,12,0.0,0.1853187084197998,1.1706611061355663,196.31727546663132,5000
average,2,2,0.0,0.7719593644142151,0.4883360974698558,167.51605744785223,5000
average,3,3,0.0,0.7482201457023621,0.46060533967492256,110.13637923323346,5000
average,4,4,0.0,0.7474688291549683,0.3813173328128172,77.54585748027102,5000
average,5,5,0.0,0.6635844707489014,0.5258144810174477,112.83593812951318,5000
average,6,6,0.0,0.6602466106414795,0.5692307819083803,140.6661099459732,5000
average,7,7,0.0,0.6568684577941895,0.5256060506599082,119.10880283769566,5000
average,8,8,0.0,0.581898033618927,0.577603081201028,107.04480603625952,5000
average,9,9,0.0,0.581282377243042,0.5590049068050946,94.682271669887,5000
average,10,10,0.0,0.5315383672714233,0.6460883720101573,98.1239620930928,5000
average,11,11,0.0,0.4948827624320984,0.659144602843324,89.70915035938403,5000
average,12,12,0.0,0.4944503903388977,0.6344865911607025,82.1466247629739,5000
